DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
2023-12-20,7:00:00.032931613,K,CLNE,,40,3.81
2023-12-20,7:03:38.890702614,P,CLNE,,7,3.83
2023-12-20,7:03:56.128541668,K,CLNE,,300,3.81
2023-12-20,7:03:57.904327201,K,CLNE,,1000,3.81
2023-12-20,7:06:38.232341899,K,CLNE,,25,3.81
2023-12-20,7:48:25.132446734,K,CLNE,,10,3.79
2023-12-20,7:48:25.132648751,K,CLNE,,53,3.79
2023-12-20,7:48:25.132659738,K,CLNE,,10,3.8
2023-12-20,7:48:38.209775888,K,CLNE,,27,3.82
2023-12-20,8:00:01.166564911,D,CLNE,,416,3.81
2023-12-20,8:00:04.691346944,D,CLNE,,1,3.85
2023-12-20,8:00:04.806995173,D,CLNE,,6,3.7
2023-12-20,8:07:58.658571756,K,CLNE,,200,3.74
2023-12-20,8:07:58.660728538,P,CLNE,,79,3.74
2023-12-20,8:25:36.134120884,D,CLNE,,34,3.73
2023-12-20,8:36:01.573583521,D,CLNE,,1000,3.84
2023-12-20,8:36:19.090418477,D,CLNE,,2000,3.82
2023-12-20,8:41:38.518999062,D,CLNE,,50,3.82
2023-12-20,8:46:31.157301050,D,CLNE,,8000,3.82
2023-12-20,8:51:02.064699226,D,CLNE,,200,3.74
2023-12-20,8:52:00.265548330,D,CLNE,,10,3.74
2023-12-20,8:52:20.416977259,D,CLNE,,200,3.8122
2023-12-20,8:52:20.420563219,D,CLNE,,129,3.82
2023-12-20,8:56:29.154056031,D,CLNE,,5000,3.8
2023-12-20,9:06:35.866887040,D,CLNE,,3,3.82
2023-12-20,9:10:08.126299771,D,CLNE,,2,3.8
2023-12-20,9:16:46.693204676,D,CLNE,,2,3.82
2023-12-20,9:18:04.696176620,D,CLNE,,4,3.8076
2023-12-20,9:20:33.361576612,D,CLNE,,1000,3.78
2023-12-20,9:22:30.779258568,D,CLNE,,10,3.75
2023-12-20,9:24:09.919579831,D,CLNE,,3,3.8
2023-12-20,9:27:59.576013030,B,CLNE,,139,3.8
2023-12-20,9:28:15.373337094,D,CLNE,,100,3.75
2023-12-20,9:28:15.373464443,D,CLNE,,100,3.7501
2023-12-20,9:30:00.429821160,D,CLNE,,1,3.78
2023-12-20,9:30:00.745892899,P,CLNE,,3,3.75
2023-12-20,9:30:00.745894709,P,CLNE,,3,3.75
2023-12-20,9:30:00.772661079,D,CLNE,,1,3.78
2023-12-20,9:30:00.882370498,D,CLNE,,1,3.78
2023-12-20,9:30:00.959953188,Q,CLNE,,3,3.8
2023-12-20,9:30:01.018208488,D,CLNE,,1,3.78
2023-12-20,9:30:01.528549782,Q,CLNE,,48004,3.75
2023-12-20,9:30:01.528561734,Q,CLNE,,48004,3.75
2023-12-20,9:30:02.044833660,D,CLNE,,1,3.804
2023-12-20,9:30:02.268174115,D,CLNE,,20,3.75
2023-12-20,9:30:02.474257803,D,CLNE,,1,3.78
2023-12-20,9:30:02.627066835,Q,CLNE,,100,3.75
2023-12-20,9:30:02.627637588,P,CLNE,,97,3.75
2023-12-20,9:30:02.627713575,Q,CLNE,,180,3.75
2023-12-20,9:30:02.627996848,U,CLNE,,100,3.74
2023-12-20,9:30:03.925815795,D,CLNE,,1,3.75
2023-12-20,9:30:03.925894103,Q,CLNE,,167,3.74
2023-12-20,9:30:03.925895277,Q,CLNE,,13,3.74
2023-12-20,9:30:03.925897858,Q,CLNE,,100,3.74
2023-12-20,9:30:03.926263703,Q,CLNE,,167,3.73
2023-12-20,9:30:03.926266154,Q,CLNE,,100,3.73
2023-12-20,9:30:03.926283127,K,CLNE,,50,3.73
2023-12-20,9:30:03.926286505,K,CLNE,,12,3.73
2023-12-20,9:30:03.939130787,D,CLNE,,1,3.75
2023-12-20,9:30:04.005684866,Z,CLNE,,3,3.73
2023-12-20,9:30:04.072205989,D,CLNE,,1035,3.75
2023-12-20,9:30:04.269993873,D,CLNE,,1,3.7335
2023-12-20,9:30:04.340402274,D,CLNE,,3,3.7379
2023-12-20,9:30:04.508817485,D,CLNE,,1,3.75
2023-12-20,9:30:05.249528471,D,CLNE,,1,3.75
2023-12-20,9:30:05.303419129,D,CLNE,,3,3.75
